document,label,why,the_document_answers_it,words,context
856,10,does not read like a recommendation,,"The establishment of a National and Torres Strait Islander Heritage Council as a new independent statutory body, made up exclusively of First Nations people, along the considerations outlined in chapter 7 of this report. 22 Australian Government response on Juukan Gorge Dissenting view","Recommendation 10 The establishment of a National and Torres Strait Islander Heritage Council as a new independent statutory body, made up exclusively of First Nations people, along the considerations outlined in chapter 7 of this report. 22 Australian Government response on Juukan Gorge Dissenting view Australian Gove"
856,12,does not read like a recommendation,,The Australian government ensure any cultural heritage laws provide for appropriate review mechanisms and provide Traditional Owners with support to make use of these mechanisms,"Recommendation 12 The Australian government ensure any cultural heritage laws provide for appropriate review mechanisms and provide Traditional Owners with support to make use of these mechanisms. Recommendation 13 Notwithstanding the need for national standalone heritage protection legislation, the ATSHIP Act and EPBC"
856,14,the government's words begin mid-sentence,yes,"Notwithstanding the need for national standalone heritage protection legislation, the Native Title Act be reviewed and amended to fully meet our obligations under the United Nations Declaration on the Rights of Indigenous People (UNDRIP), in a process led by First Nations people. The best practice s","Recommendation 14 Notwithstanding the need for national standalone heritage protection legislation, the Native Title Act be reviewed and amended to fully meet our obligations under the United Nations Declaration on the Rights of Indigenous People (UNDRIP), in a process led by First Nations people. The best practice sta"
856,15,does not read like a recommendation,,"Response provided on pages 19 and 20 The Australian government, in collaboration with all relevant stakeholders and First Nations people, develop a set of national principles/best practice standards to support and protect Indigenous cultural heritage across Australia, in consideration of the best pr","Recommendation 15 Response provided on pages 19 and 20 The Australian government, in collaboration with all relevant stakeholders and First Nations people, develop a set of national principles/best practice standards to support and protect Indigenous cultural heritage across Australia, in consideration of the best prac"
856,16,does not read like a recommendation,,"The Australian federal, state and territory governments, in collaboration with all relevant stakeholders and First Nations people, review and increase the penalties provided by First Nations cultural heritage legislation across Australia to create a significant deterrent for land users to take unaut","Recommendation 16 The Australian federal, state and territory governments, in collaboration with all relevant stakeholders and First Nations people, review and increase the penalties provided by First Nations cultural heritage legislation across Australia to create a significant deterrent for land users to take unautho"
856,21,does not read like a recommendation,yes,The new national heritage protection legislation to include strong environmental protections to ensure protection of Country as well as culture,"Recommendation 21 Noted. The new national heritage protection legislation to include strong environmental protections to ensure protection of Country as well as culture. Recommendation 22 Agreed. The Australian Government, in collaboration with all The Australian Government has also relevant stakeholders and First Nati"
856,22,too short to be a recommendation,yes,,"Recommendation 22 Agreed. The Australian Government, in collaboration with all The Australian Government has also relevant stakeholders and First Nations people, take committed to delivering net zero carbon urgent, equitable and sustained local, national and emissions by 2050, including reducing global action to avoid"
856,23,the government's words begin mid-sentence,yes,This is a recommendation for the Western The Western Australian Government not proceed with Australian Government. the draft Aboriginal Cultural Heritage Bill 2021 in its The Australian Government notes that current form and provide Traditional Owners with the the Aboriginal Cultural Heritage Act 20,Recommendation 23 This is a recommendation for the Western The Western Australian Government not proceed with Australian Government. the draft Aboriginal Cultural Heritage Bill 2021 in its The Australian Government notes that current form and provide Traditional Owners with the the Aboriginal Cultural Heritage Act 2021
856,3,too short to be a recommendation,,8,Recommendation 3 ...................................................................................................................8 Recommendation 4 .................................................................................................................10 Recommendation 5 ....................................
856,3,too short to be a recommendation,,17,Recommendation 3 ................................................................................................................17 Recommendation 4 ................................................................................................................18 Recommendation 5 .......................................
