ArialMT	9	i
ArialMT	10	Alex Seton
Arial-ItalicMT	10	For Every Drop Shed in Anguish
ArialMT	10	made in Sydney, 2022–2023
ArialMT	10	Australian Pearl Marble
ArialMT	10	dimensions variable
ArialMT	10	Collection of the Australian War Memorial, acquired by commission in 2023
ArialMT	10	AWM2021.938.1
ArialMT	10	© Alex Seton
ArialMT	10	Together with veterans and their families, the Australian War Memorial commissioned this work of art to
ArialMT	10	recognise and commemorate the suffering caused by war and military service. For Every Drop Shed in
ArialMT	10	Anguish by Alex Seton provides a place in the Australian War Memorial’s Sculpture Garden for visitors
ArialMT	10	to grieve, to reflect on service experiences, and to remember the long-term cost of war and service.
ArialMT	10	Artist Alex Seton said, ‘These rounded and abstracted liquid forms represent every drop of blood, sweat
ArialMT	10	and tears ever shed by Australian military personnel and their families. It was very important that we
ArialMT	10	create a different kind of memorial, not a singular heroic monument, but a grouping that acknowledges
ArialMT	10	that there is a wider impact of mental and physical trauma. The large group of forms alludes to the
ArialMT	10	suffering that radiates out from the individual, affecting their family, friends and communities.’
ArialMT	11	© Commonwealth of Australia 2024
ArialMT	11	ISBN 978-1-921357-06-0 (print)
ArialMT	11	ISBN 978-1-921357-05-3 (online)
ArialMT	11	With the exception of the Coat of Arms and where otherwise
ArialMT	11	stated, all material presented in this publication is provided
ArialMT	11	under a Creative Commons Attribution 4.0 International licence
ArialMT	11	(www.creativecommons.org/licenses).
ArialMT	11	For the avoidance of doubt, this means this licence only applies
ArialMT	11	to material as set out in this document.
ArialMT	11	The details of the relevant licence conditions are available
ArialMT	11	on the Creative Commons website as is the full legal code for
ArialMT	11	the CC BY 4.0 licence (www.creativecommons.org/licenses).
ArialMT	11	Use of the Coat of Arms
ArialMT	11	The terms under which the Coat of Arms can be used are
ArialMT	11	detailed on the Department of the Prime Minister and Cabinet
ArialMT	11	website (www.pmc.gov.au/government/commonwealth-coat-arms).
DINPro-Bold	12	into Defence and Veteran Suicide
Arial-BoldMT	40	Final Report
ArialMT	30	Volume 1:
ArialMT	30	Executive summary,
ArialMT	30	recommendations
ArialMT	30	and the fundamentals
HelveticaNeue-Bold	25	Content warning – discussion
HelveticaNeue-Bold	25	of suicide and suicidality
ArialMT	11	This report is about suicide and suicidality among serving and ex-serving Australian Defence
ArialMT	11	Force (ADF) members. It includes information related to these topics as well as experiences
ArialMT	11	that have contributed to people becoming suicidal. This report includes content that readers
ArialMT	11	may find distressing, confronting, emotionally-laden or otherwise difficult to read. You may
ArialMT	11	find that reading this report brings up traumatic memories or strong emotional responses.
ArialMT	11	We encourage you to speak with someone you trust, or you may wish to seek professional
ArialMT	11	support through one of the services listed here if needed.
ArialMT	11	It is important to write about suicide, suicidality, traumatic experiences and their ramifications
ArialMT	11	safely and responsibly. In the past, talking about suicide and suicidality has been taboo. We
ArialMT	11	aim to approach our discussion about them in a constructive way. This report was written in
ArialMT	11	line with our trauma-informed approach and using guidance from the Mindframe program.1
ArialMT	11	We have aimed to avoid using language that might stigmatise suicide or suicidality or that
ArialMT	11	might inadvertently encourage suicide. We recognise that because this report includes
ArialMT	11	evidence and information provided by other people and organisations, there may be times
ArialMT	11	when the language used does not always meet best practice guidelines.
HelveticaNeue-Bold	18	Urgent support
ArialMT	11	If you require urgent or immediate help, you can:
ArialMT	11	• call triple zero (000)
ArialMT	11	• go to your local emergency department.
Arial-ItalicMT	10	1 Mindframe, A guide for media reporting on defence and veteran suicide, 22 December 2022.
ArialMT	9	iii
HelveticaNeue-Bold	18	Crisis support services
HelveticaNeue-Bold	13	Suicide Call Back Service 1800RESPECT
ArialMT	11	1300 659 467 1800 737 732
ArialMT	11	24-hour counselling service for suicide 24-hour counselling service for sexual
ArialMT	11	prevention and mental health. Available assault, family and domestic violence.
ArialMT	11	via telephone, online and by video chat.
HelveticaNeue-Bold	13	Men’s Referral Service
HelveticaNeue-Bold	13	Open Arms
ArialMT	11	1300 766 491
ArialMT	11	1800 011 046
ArialMT	11	24-hour counselling, information and referral
ArialMT	11	24-hour mental health support for Navy, service for men concerned about their own
ArialMT	11	Army & Air Force personnel, veterans use of violence or abusive behaviour.
ArialMT	11	and their families.
HelveticaNeue-Bold	13	MensLine
HelveticaNeue-Bold	13	Defence Member and Family
ArialMT	11	1300 78 99 78
HelveticaNeue-Bold	13	Helpline
ArialMT	11	24-hour support for men with concerns about
ArialMT	11	1800 624 608
ArialMT	11	mental health, anger management, family
ArialMT	11	24-hour service providing a range of practical violence, addiction, relationship stress and
ArialMT	11	and emotional support programs for families wellbeing. Available via telephone, online
ArialMT	11	facing emergency or crisis. and by video chat.
HelveticaNeue-Bold	13	Defence All-hours Support Line 13YARN
ArialMT	11	1800 628 036 13 92 76
ArialMT	11	24-hour service for Australian Defence 24-hour national support line for First
ArialMT	11	Force members and their families providing Nations people in crisis.
ArialMT	11	help to access military or civilian mental
ArialMT	13	health services. QLife
ArialMT	11	Call 1800 184 527 or visit qlife.org.au
HelveticaNeue-Bold	13	Lifeline Australia
ArialMT	11	The QLife phone and webchat service
ArialMT	11	13 11 14 or text 0477 13 11 14
ArialMT	11	is available 3pm to midnight every day,
ArialMT	11	24-hour crisis support service. providing space for where LGBTQI+ people
ArialMT	11	Available via telephone, online and text chat. and their loved ones can talk about anything
ArialMT	11	affecting their lives.
HelveticaNeue-Bold	13	Beyond Blue
ArialMT	11	1300 224 636
ArialMT	11	24-hour counselling service.
ArialMT	11	Available via telephone, online or email.
ArialMT	9	iv
HelveticaNeue-Bold	25	Acknowledgement of Country
ArialMT	11	We Commissioners and all Royal Commission staff wish to acknowledge the Traditional
ArialMT	11	Custodians of Country throughout Australia. We pay our respects to their Elders past and
ArialMT	11	present and extend that respect to all First Nations peoples including those who have served
ArialMT	11	in the Australian Defence Force, and who have been impacted by defence and veteran
ArialMT	11	suicide. First Nations people have a long and proud history of serving this country, and
ArialMT	11	we honour their service.
ArialMT	11	Our head office was located on the lands of the Gadigal people of the Eora Nation. The
ArialMT	11	Gadigal people are one of about 29 clans that make up the Eora Nation, and are a salt
ArialMT	11	water people whose traditional lands include much of the area we now call Sydney. We
ArialMT	11	acknowledge the Gadigal people’s continuing connection to land, water and community,
ArialMT	11	and pay our respects to Gadigal Elders past and present.
ArialMT	11	We held hearings around Australia on the lands of the Jagera people and the Turrbal people
ArialMT	11	(Brisbane), the Gadigal people, the Ngunnawal people and Ngambri people (Canberra), the
ArialMT	11	Bindal and Wulgurukaba people (Townsville), the Muwinina people (Hobart), the Larrakia
ArialMT	11	people (Darwin), the Wiradjuri people (central New South Wales), the Whadjuk Nyoongar
ArialMT	11	people (Perth), the Kaurna people (Adelaide), and the Wurundjeri people (Melbourne).
ArialMT	9	v
ArialMT	11	9 September 2024
ArialMT	11	Her Excellency the Honourable Ms Sam Mostyn AC
ArialMT	11	Governor-General of the Commonwealth of Australia
ArialMT	11	Government House
ArialMT	11	CANBERRA ACT 2600
ArialMT	11	Your Excellency
ArialMT	11	In accordance with the Letters Patent issued on 8 July 2021, as amended on 10 April 2022
ArialMT	11	and 7 December 2023, we have made inquiries and now submit to you the final report of the
ArialMT	11	Royal Commission into Defence and Veteran Suicide.
ArialMT	11	Yours sincerely
Arial-BoldMT	11	Mr Nick Kaldas APM The Hon James Douglas KC Dr Peggy Brown AO
ArialMT	11	Chair Commissioner Commissioner
ArialMT	9	vii
HelveticaNeue-Bold	25	Contents
HelveticaNeue-Bold	12	Content warning – discussion of suicide and suicidality. . . . . . . . . . . . . . . .iii
HelveticaNeue-Bold	12	Acknowledgement of Country . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . v
HelveticaNeue-Bold	12	Statement of support . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 1
HelveticaNeue-Bold	12	Commissioners’ foreword . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 3
HelveticaNeue-Bold	12	Executive summary. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 5
HelveticaNeue-Bold	12	Our inquiry . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .5
HelveticaNeue-Bold	12	The unique nature of military service . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .8
HelveticaNeue-Bold	12	Positive perspectives of military service. . . . . . . . . . . . . . . . . . . . . . . . . . . .10
HelveticaNeue-Bold	12	Understanding suicide among serving and ex-serving ADF members . . .13
HelveticaNeue-Bold	12	Institutional drivers of suicide and suicidality in Defence and DVA . . . . . .17
HelveticaNeue-Bold	12	Service-related risk factors for suicide and suicidality . . . . . . . . . . . . . . . .26
HelveticaNeue-Bold	12	Acknowledgement and apology from Defence leadership . . . . . . . . . . . . .68
HelveticaNeue-Bold	12	Recommendations: Lines of effort. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .69
